la_code,name,UTLA,UTLA_name,DOM_abuse,DOM_dys,DOM_context,ACE_mean_rank,ACE_rank
E07000213,Spelthorne,E10000030,Surrey,0.022,-0.019,-0.182,166.33,168
E07000214,Surrey Heath,E10000030,Surrey,-0.521,-0.561,-0.376,75,51
E07000215,Tandridge,E10000030,Surrey,-0.48,-0.4,-0.54,75,51
E07000216,Waverley,E10000030,Surrey,-0.76,-0.656,-0.731,34,11
E07000217,Woking,E10000030,Surrey,-0.371,-0.415,-0.344,97,73
E09000029,Sutton,E09000029,Sutton,0.104,0.893,-0.57,175,177.5
E06000030,Swindon,E06000030,Swindon,0.594,0.102,0.036,223,239
E08000008,Tameside,E08000008,Tameside,1.203,0.743,0.424,290.33,310
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,0.994,-0.703,0.217,196.67,212.5
E06000034,Thurrock,E06000034,Thurrock,0.769,0.197,0.027,232.67,249
E06000027,Torbay,E06000027,Torbay,1.242,0.719,0.98,301,317
E09000030,Tower Hamlets,E09000030,Tower Hamlets,0.265,0.396,0.24,243.67,260
E08000009,Trafford,E08000009,Trafford,0.054,0.372,-0.593,151.33,154
E08000036,Wakefield,E08000036,Wakefield,-0.066,0.13,-0.058,183,189
E08000030,Walsall,E08000030,Walsall,0.824,0.476,-0.305,211.67,230
E09000031,Waltham Forest,E09000031,Waltham Forest,-0.33,0.602,0.015,193,202
E09000032,Wandsworth,E09000032,Wandsworth,0.202,0.268,-0.243,188,194
E06000007,Warrington,E06000007,Warrington,0.468,0.443,-0.038,226,242
E07000218,North Warwickshire,E10000031,Warwickshire,-0.427,0.248,-0.002,172,175.5
E07000219,Nuneaton and Bedworth,E10000031,Warwickshire,0.216,0.948,0.43,268,290
E07000220,Rugby,E10000031,Warwickshire,-0.609,0.245,-0.242,135.67,131
E07000221,Stratford-on-Avon,E10000031,Warwickshire,-0.818,-0.168,-0.073,117,107
E07000222,Warwick,E10000031,Warwickshire,-0.754,0.153,0.148,159.33,158.5
E06000037,West Berkshire,E06000037,West Berkshire,-0.299,-0.033,-0.382,120.67,109
E07000223,Adur,E10000032,West Sussex,-0.184,-0.376,-0.201,131.67,122
E07000224,Arun,E10000032,West Sussex,-0.238,-0.527,-0.069,127.67,114
E07000225,Chichester,E10000032,West Sussex,-0.667,-0.781,-0.248,71.33,42
E07000226,Crawley,E10000032,West Sussex,0.072,0.001,0.668,227.33,243
E07000227,Horsham,E10000032,West Sussex,-0.898,-0.909,-0.176,62.67,29.5
E07000228,Mid Sussex,E10000032,West Sussex,-0.932,-0.869,-0.575,23,6
E07000229,Worthing,E10000032,West Sussex,-0.108,-0.269,0.199,177,182
E09000033,Westminster,E09000033,Westminster,-0.106,0.689,1.34,254,276
E08000010,Wigan,E08000010,Wigan,0.205,-0.593,0.094,168.33,170.5
E06000054,Wiltshire,E06000054,Wiltshire,-0.158,-0.412,-0.358,112.33,98.5
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,-0.675,-0.204,-0.264,101,78
E08000015,Wirral,E08000015,Wirral,0.372,-0.037,-0.064,193.67,204
E06000041,Wokingham,E06000041,Wokingham,-1.222,-1.05,-0.867,7.33,1
E08000031,Wolverhampton,E08000031,Wolverhampton,1.028,0.27,0.028,241.33,258
E07000234,Bromsgrove,E10000034,Worcestershire,-0.201,-0.967,-0.088,111,93.5
E07000235,Malvern Hills,E10000034,Worcestershire,-0.204,-1.042,-0.15,101.67,79
E07000236,Redditch,E10000034,Worcestershire,0.493,-0.532,0.311,196.67,212.5
E07000237,Worcester,E10000034,Worcestershire,0.777,-0.483,0.087,194.33,207
E07000238,Wychavon,E10000034,Worcestershire,0.017,-1.039,0.02,136.33,133
E07000239,Wyre Forest,E10000034,Worcestershire,0.113,-0.773,0.073,156,157
